City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Itarema,7,BR,1569278613,80,-2.92,-39.92,77.09,11.1
Jamestown,0,AU,1569278614,53,-33.21,138.6,55.67,1.79
Cape Town,0,ZA,1569278465,77,-33.93,18.42,60.01,11.41
Provideniya,20,RU,1569278616,60,64.42,-173.23,39.2,2.24
Mount Isa,75,AU,1569278617,14,-20.73,139.49,71.6,8.05
Thinadhoo,100,MV,1569278618,75,0.53,72.93,81.77,13.89
Puerto Rondon,55,CO,1569278620,94,6.28,-71.1,75.11,3.74
Bluff,91,AU,1569278621,20,-23.58,149.07,78.53,16.13
Ushuaia,75,AR,1569278413,75,-54.81,-68.31,46.4,5.55
Castro,75,CL,1569278623,81,-42.48,-73.76,53.6,8.05
Vestmannaeyjar,100,IS,1569278408,94,63.44,-20.27,50.63,14.54
Pisco,0,PE,1569278625,30,-13.71,-76.2,71.6,6.93
Kahului,40,US,1569278330,44,20.89,-156.47,93.2,14.99
Zhigansk,30,RU,1569278628,75,66.77,123.37,35.69,0.69
New Norfolk,40,AU,1569278629,57,-42.78,147.06,53.01,16.11
Busselton,33,AU,1569278344,70,-33.64,115.35,63.05,17.38
Hobart,40,AU,1569278436,57,-42.88,147.33,52.0,16.11
Punta Arenas,90,CL,1569278632,87,-53.16,-70.91,48.2,11.41
Strathmore,90,CA,1569278633,54,51.04,-113.4,63.0,9.17
Ekuvukeni,99,ZA,1569278634,80,-28.47,30.16,49.19,5.03
Fortuna,1,US,1569278636,64,40.6,-124.16,77.0,16.11
Bethel,75,US,1569278637,75,60.79,-161.76,46.4,16.11
Barabinsk,95,RU,1569278638,42,55.35,78.35,55.67,27.2
Beloha,0,MG,1569278639,78,-25.17,45.06,68.63,6.02
Timbuktu,0,ML,1569278640,11,16.77,-3.01,96.17,7.65
Clarksburg,90,US,1569278618,42,39.24,-77.28,86.0,3.36
Hithadhoo,100,MV,1569278431,79,-0.6,73.08,81.05,13.27
San Cristobal,87,HN,1569278644,86,14.68,-86.92,72.77,1.81
Albany,75,US,1569278527,78,42.65,-73.75,78.01,5.82
Anzio,40,IT,1569278646,77,41.45,12.63,70.0,5.82
Clyde River,20,CA,1569278647,74,70.47,-68.59,32.0,9.17
Qaanaaq,100,GL,1569278624,79,77.48,-69.36,27.77,6.2
Marathon,93,CA,1569278649,85,48.72,-86.38,53.69,4.41
Neiafu,40,TO,1569278650,53,-18.65,-173.98,75.2,9.17
Sao Filipe,83,CV,1569278652,82,14.9,-24.5,82.49,11.61
Kurtamysh,100,RU,1569278653,96,54.91,64.43,38.03,11.83
Kapaa,90,US,1569278622,83,22.08,-159.32,82.4,11.41
Sabang,12,PH,1569278655,94,13.8,121.11,77.0,3.74
Vaini,100,IN,1569278656,92,15.34,74.49,73.13,1.25
Zalantun,0,CN,1569278658,48,48.0,122.72,52.79,5.46
Ostrovnoy,100,RU,1569278659,92,68.05,39.51,36.05,22.15
Butaritari,0,KI,1569278660,68,3.07,172.79,85.19,11.3
Mount Gambier,75,AU,1569278661,100,-37.83,140.78,46.4,8.05
Kununurra,31,AU,1569278460,46,-15.77,128.74,73.4,10.29
Dhidhdhoo,100,MV,1569278664,86,6.88,73.1,79.97,16.49
Mahebourg,75,MU,1569278665,83,-20.41,57.7,71.01,19.46
Vardo,90,US,1569278666,54,39.62,-77.74,82.99,8.05
Kaitangata,100,NZ,1569278667,63,-46.28,169.85,46.99,13.0
Shakawe,0,BW,1569278668,16,-18.36,21.84,66.47,7.31
Avarua,100,CK,1569278669,77,-21.21,-159.78,69.8,6.93
Hermanus,0,ZA,1569278652,95,-34.42,19.24,59.0,9.04
Yaya,0,RU,1569278672,85,56.2,86.45,43.07,12.55
Lagoa,0,PT,1569278673,77,37.14,-8.45,66.99,10.29
Port Alfred,38,ZA,1569278401,79,-33.59,26.89,60.01,1.99
Dikson,100,RU,1569278675,86,73.51,80.55,37.85,14.97
Norman Wells,75,CA,1569278676,61,65.28,-126.83,50.0,6.93
Moron,60,HT,1569278678,80,18.56,-74.26,81.95,7.65
Bradford,75,GB,1569278679,100,53.79,-1.75,61.0,13.87
Saint-Philippe,90,CA,1569278680,88,45.36,-73.48,72.0,5.82
Bredasdorp,0,ZA,1569278681,87,-34.53,20.04,46.99,2.24
Santa Fe,0,AR,1569278682,71,-31.62,-60.7,57.47,9.35
Vostok,67,RU,1569278464,82,46.45,135.83,46.85,9.91
Longyearbyen,75,NO,1569278466,93,78.22,15.63,35.6,8.05
Coquimbo,40,CL,1569278686,76,-29.95,-71.34,68.0,10.29
Tautira,20,PF,1569278687,74,-17.73,-149.15,84.2,19.46
Bambous Virieux,75,MU,1569278688,83,-20.34,57.76,71.01,19.46
Acapulco,75,MX,1569278630,70,16.86,-99.88,87.8,5.82
Dosso,61,NE,1569278690,52,13.05,3.19,84.83,6.31
Choma,29,ZM,1569278691,29,-16.81,26.98,65.75,4.23
Namatanai,95,PG,1569278693,83,-3.66,152.44,79.61,9.98
Roald,0,NO,1569278694,100,62.58,6.12,51.01,5.82
Estelle,0,FR,1569278695,68,43.97,3.47,64.4,3.36
Meiktila,99,MM,1569278696,93,20.88,95.86,73.85,5.48
Maoming,56,CN,1569278697,70,21.67,110.92,73.85,5.64
Upington,0,ZA,1569278699,28,-28.46,21.24,55.4,5.82
Kodiak,1,US,1569278700,57,39.95,-94.76,80.6,6.93
Khandyga,87,RU,1569278701,82,62.65,135.58,35.51,3.22
Flinders,0,AU,1569278702,58,-34.58,150.85,61.0,11.41
Saskylakh,100,RU,1569278703,74,71.97,114.09,34.07,18.37
Airai,6,TL,1569278704,54,-8.93,125.41,83.75,0.78
Vao,100,EE,1569278706,70,59.1,26.19,44.51,5.88
Jinchang,0,CN,1569278707,44,38.52,102.19,53.33,2.89
Ribeira Grande,96,PT,1569278708,67,38.52,-28.7,70.07,12.44
Urdoma,85,RU,1569278709,96,61.74,48.55,28.13,4.79
Nicoya,75,CR,1569278710,83,10.15,-85.45,80.6,5.82
Barrow,0,AR,1569278712,71,-38.31,-60.23,57.65,9.46
Chuy,20,UY,1569278713,77,-33.69,-53.46,53.15,10.98
Birakan,0,RU,1569278714,58,49.02,131.7,47.21,13.91
Artyom,0,RU,1569278715,81,43.36,132.19,53.6,4.47
Rikitea,42,PF,1569278628,73,-23.12,-134.97,69.53,14.16
Mataura,100,NZ,1569278620,93,-46.19,168.86,44.01,5.99
Torbay,90,CA,1569278635,87,47.66,-52.73,63.0,13.87
Terrace,90,CA,1569278720,87,54.52,-128.61,53.6,11.41
Deputatskiy,99,RU,1569278435,89,69.3,139.9,31.73,2.8
Luderitz,0,NA,1569278722,14,-26.65,15.16,71.6,9.17
Kasongo-Lunda,60,CD,1569278723,85,-6.48,16.82,70.25,1.54
